Date,Quarter,Close,PE
2020-06-15,2020-Q2,3.6810414649082968,
2020-06-16,2020-Q2,3.6810414649082968,
2020-06-17,2020-Q2,3.6810414649082968,
2020-06-18,2020-Q2,3.6810414649082968,
2020-06-19,2020-Q2,3.6810414649082968,
2020-06-22,2020-Q2,3.6810414649082968,
2020-06-23,2020-Q2,3.6810414649082968,
2020-06-24,2020-Q2,3.6810414649082968,
2020-06-25,2020-Q2,3.6810414649082968,
2020-06-26,2020-Q2,3.6810414649082968,
2020-06-29,2020-Q2,3.6810414649082968,
2020-06-30,2020-Q2,3.6810414649082968,
2020-07-01,2020-Q3,3.6810414649082968,
2020-07-02,2020-Q3,3.6810414649082968,
2020-07-03,2020-Q3,3.8370177981671225,
2020-07-06,2020-Q3,3.649846198256531,
2020-07-07,2020-Q3,3.649846198256531,
2020-07-08,2020-Q3,3.649846198256531,
2020-07-09,2020-Q3,3.649846198256531,
2020-07-10,2020-Q3,3.649846198256531,
2020-07-13,2020-Q3,3.649846198256531,
2020-07-14,2020-Q3,3.649846198256531,
2020-07-15,2020-Q3,3.649846198256531,
2020-07-16,2020-Q3,3.649846198256531,
2020-07-17,2020-Q3,3.649846198256531,
2020-07-20,2020-Q3,3.805822531515357,
2020-07-21,2020-Q3,3.6810414649082963,
2020-07-22,2020-Q3,3.837017798167122,
2020-07-23,2020-Q3,3.837017798167122,
2020-07-24,2020-Q3,4.024189398077714,
2020-07-27,2020-Q3,4.024189398077714,
2020-07-28,2020-Q3,4.024189398077714,
2020-07-29,2020-Q3,4.024189398077714,
2020-07-30,2020-Q3,3.899408331470652,
2020-07-31,2020-Q3,3.899408331470652,
2020-08-03,2020-Q3,3.899408331470652,
2020-08-04,2020-Q3,3.899408331470652,
2020-08-05,2020-Q3,3.899408331470652,
2020-08-06,2020-Q3,3.899408331470652,
2020-08-07,2020-Q3,3.899408331470652,
2020-08-10,2020-Q3,3.899408331470652,
2020-08-11,2020-Q3,3.899408331470652,
2020-08-12,2020-Q3,4.086579931381244,
2020-08-13,2020-Q3,4.086579931381244,
2020-08-14,2020-Q3,4.086579931381244,
2020-08-17,2020-Q3,4.086579931381244,
2020-08-18,2020-Q3,4.086579931381244,
2020-08-19,2020-Q3,4.086579931381244,
2020-08-20,2020-Q3,4.086579931381244,
2020-08-21,2020-Q3,3.899408331470652,
2020-08-24,2020-Q3,3.899408331470652,
2020-08-25,2020-Q3,3.899408331470652,
2020-08-26,2020-Q3,3.899408331470652,
2020-08-27,2020-Q3,3.899408331470652,
2020-08-28,2020-Q3,3.899408331470652,
2020-08-31,2020-Q3,3.899408331470652,
2020-09-01,2020-Q3,3.899408331470652,31.25
2020-09-02,2020-Q3,3.899408331470652,31.25
2020-09-03,2020-Q3,3.899408331470652,31.25
2020-09-04,2020-Q3,3.899408331470652,31.25
2020-09-07,2020-Q3,3.899408331470652,31.25
2020-09-08,2020-Q3,3.8058225315153567,30.5
2020-09-09,2020-Q3,3.8058225315153567,30.5
2020-09-10,2020-Q3,3.8058225315153567,30.5
2020-09-11,2020-Q3,3.8058225315153567,30.5
2020-09-14,2020-Q3,3.8058225315153567,30.5
2020-09-15,2020-Q3,3.8058225315153567,30.5
2020-09-16,2020-Q3,3.8058225315153567,30.5
2020-09-17,2020-Q3,3.7434319982118263,30.0
2020-09-18,2020-Q3,3.7434319982118263,30.0
2020-09-21,2020-Q3,3.7434319982118263,30.0
2020-09-22,2020-Q3,3.7434319982118263,30.0
2020-09-23,2020-Q3,3.7434319982118263,30.0
2020-09-24,2020-Q3,3.7434319982118263,30.0
2020-09-25,2020-Q3,3.7434319982118263,30.0
2020-09-28,2020-Q3,3.7434319982118263,30.0
2020-09-29,2020-Q3,3.7434319982118263,30.0
2020-09-30,2020-Q3,3.7434319982118263,30.0
2020-10-01,2020-Q4,3.556260398301235,28.5
2020-10-02,2020-Q4,3.556260398301235,28.5
2020-10-05,2020-Q4,3.556260398301235,28.5
2020-10-06,2020-Q4,3.556260398301235,28.5
2020-10-07,2020-Q4,3.556260398301235,28.5
2020-10-08,2020-Q4,3.556260398301235,28.5
2020-10-09,2020-Q4,3.556260398301235,28.5
2020-10-12,2020-Q4,3.556260398301235,28.5
2020-10-13,2020-Q4,3.556260398301235,28.5
2020-10-14,2020-Q4,3.556260398301235,28.5
2020-10-15,2020-Q4,3.556260398301235,28.5
2020-10-16,2020-Q4,3.4938698649977047,28.0
2020-10-19,2020-Q4,3.4938698649977047,28.0
2020-10-20,2020-Q4,3.4938698649977047,28.0
2020-10-21,2020-Q4,3.4938698649977047,28.0
2020-10-22,2020-Q4,3.4938698649977047,28.0
2020-10-23,2020-Q4,3.4938698649977047,28.0
2020-10-26,2020-Q4,3.4938698649977047,28.0
2020-10-27,2020-Q4,3.4938698649977047,28.0
2020-10-28,2020-Q4,3.4938698649977047,28.0
2020-10-29,2020-Q4,3.4938698649977047,28.0
2020-10-30,2020-Q4,3.4938698649977047,28.0
2020-11-02,2020-Q4,3.369088798390644,27.0
2020-11-03,2020-Q4,3.369088798390644,27.0
2020-11-04,2020-Q4,3.369088798390644,27.0
2020-11-05,2020-Q4,3.369088798390644,27.0
2020-11-06,2020-Q4,3.369088798390644,27.0
2020-11-09,2020-Q4,3.369088798390644,27.0
