Date,Quarter,Close,PE
2020-10-13,2020-Q4,5282.678653956579,180.6703146374829
2020-10-14,2020-Q4,5331.677528425398,182.3461012311901
2020-10-15,2020-Q4,5274.978830825766,180.40697674418607
2020-10-16,2020-Q4,5289.128505799924,180.89090287277705
2020-10-19,2020-Q4,5284.428613759037,180.7301641586868
2020-10-20,2020-Q4,5316.077886757775,181.812585499316
2020-10-21,2020-Q4,5297.478314000224,181.1764705882353
2020-10-22,2020-Q4,5316.927867233254,181.84165526675787
2020-10-23,2020-Q4,5271.47891122085,180.2872777017784
2020-10-26,2020-Q4,5273.878856092792,180.3693570451437
2020-10-27,2020-Q4,5284.528611462035,180.7335841313269
2020-10-28,2020-Q4,5257.929222464677,179.82387140902875
2020-10-29,2020-Q4,5261.779134030084,179.95554035567716
2020-10-30,2020-Q4,5286.328570115991,180.7951436388509
2020-11-02,2020-Q4,5318.677827035711,181.9015047879617
2020-11-03,2020-Q4,5322.177746640626,182.02120383036936
2020-11-04,2020-Q4,5360.926856552192,183.3464432284541
2020-11-05,2020-Q4,5331.327536464904,182.3341313269493
2020-11-06,2020-Q4,5386.826261628566,184.2322161422709
2020-11-09,2020-Q4,5435.325147582396,185.89090287277705
2020-11-10,2020-Q4,5487.323953141141,187.66928864569084
2020-11-11,2020-Q4,5537.922790857921,189.3997948016416
2020-11-12,2020-Q4,5541.572707017333,189.5246238030096
2020-11-13,2020-Q4,5598.97138853795,191.48768809849523
2020-11-14,2020-Q4,5636.570524865043,192.7735978112175
2020-11-16,2020-Q4,5636.570524865043,192.7735978112175
2020-11-17,2020-Q4,5877.914981049722,
2020-11-18,2020-Q4,5905.6643436315535,
2020-11-19,2020-Q4,5849.565632249906,
2020-11-20,2020-Q4,5769.967460663826,197.33584131326955
2020-11-23,2020-Q4,5724.268510393928,195.77291381668945
2020-11-24,2020-Q4,5749.867922361311,196.6484268125855
2020-11-25,2020-Q4,5687.019366027326,194.498974008208
2020-11-26,2020-Q4,5687.219361433322,194.5058139534884
2020-11-27,2020-Q4,5812.666479843795,198.79616963064296
2020-11-30,2020-Q4,5812.666479843795,198.79616963064296
2020-12-01,2020-Q4,5794.116905937743,
2020-12-02,2020-Q4,5756.817762719643,
2020-12-03,2020-Q4,5779.767235557589,
2020-12-04,2020-Q4,5764.367589295961,
2020-12-07,2020-Q4,5726.71845411737,
2020-12-08,2020-Q4,5711.868795222227,
2020-12-09,2020-Q4,5735.018263466169,
2020-12-10,2020-Q4,5789.267017342359,
2020-12-11,2020-Q4,5909.514255196959,
2020-12-14,2020-Q4,6007.961993798085,
2020-12-15,2020-Q4,5849.065643734917,
2020-12-16,2020-Q4,5889.814707706435,
2020-12-17,2020-Q4,5881.714893763631,
2020-12-18,2020-Q4,5797.216834730669,
2020-12-21,2020-Q4,5699.619076605022,
2020-12-22,2020-Q4,5719.9186103135335,
2020-12-23,2020-Q4,5829.766087056383,
2020-12-24,2020-Q4,5823.766224876527,
2020-12-25,2020-Q4,5823.766224876527,
2020-12-28,2020-Q4,5828.866107729404,
2020-12-29,2020-Q4,5816.866383369693,
2020-12-30,2020-Q4,5795.716869185704,
2020-12-31,2020-Q4,5788.567033421376,
2021-01-01,2021-Q1,5756.617767313646,
2021-01-04,2021-Q1,5765.417565177434,
2021-01-05,2021-Q1,5922.313961180648,
2021-01-06,2021-Q1,5855.365499023763,
2021-01-07,2021-Q1,5894.464600895821,
2021-01-08,2021-Q1,5875.165044217286,
2021-01-11,2021-Q1,5843.015782703561,
2021-01-12,2021-Q1,5860.915371540131,
2021-01-13,2021-Q1,5810.066539565856,
2021-01-14,2021-Q1,5807.966587802907,
2021-01-15,2021-Q1,5744.468046399439,
2021-01-18,2021-Q1,5845.065735615012,
2021-01-19,2021-Q1,5875.265041920283,
2021-01-20,2021-Q1,5858.065437004699,
2021-01-21,2021-Q1,5763.517608820479,
2021-01-22,2021-Q1,5683.119455610418,
2021-01-25,2021-Q1,5677.469585391055,
2021-01-26,2021-Q1,5677.469585391055,
2021-01-27,2021-Q1,5699.669075456519,
2021-01-28,2021-Q1,5594.771485012049,
2021-01-29,2021-Q1,5620.870885494419,
2021-02-01,2021-Q1,5600.971342597899,
2021-02-02,2021-Q1,5589.871597565167,
2021-02-03,2021-Q1,5681.419494659457,
2021-02-04,2021-Q1,5786.267086252427,
2021-02-05,2021-Q1,5659.020009187996,
2021-02-08,2021-Q1,5621.220877454909,
2021-02-09,2021-Q1,5655.120098771092,
2021-02-10,2021-Q1,5697.669121396566,
2021-02-11,2021-Q1,5707.368898587332,
2021-02-12,2021-Q1,5671.4197243597,
2021-02-15,2021-Q1,5649.720222809224,
2021-02-16,2021-Q1,5651.970171126671,
2021-02-17,2021-Q1,5642.770382450892,
2021-02-18,2021-Q1,5609.2711519467,
2021-02-19,2021-Q1,5582.271772137351,
2021-02-22,2021-Q1,5525.773069943713,
2021-02-23,2021-Q1,5516.573281267936,
2021-02-24,2021-Q1,5522.323149190298,
2021-02-25,2021-Q1,5633.32059951762,
2021-02-26,2021-Q1,5530.97295049959,
2021-03-01,2021-Q1,5556.572362466972,171.39728562615667
2021-03-02,2021-Q1,5584.221727345804,172.25015422578656
2021-03-03,2021-Q1,5611.671096818643,173.09685379395435
2021-03-04,2021-Q1,5626.870747674277,173.56570018507094
2021-03-05,2021-Q1,5610.221130125178,173.05212831585442
2021-03-08,2021-Q1,5594.321495348561,172.5616903146206
2021-03-09,2021-Q1,5602.321311588367,172.808451573103
2021-03-10,2021-Q1,5610.071133570681,173.04750154225786
2021-03-11,2021-Q1,5610.071133570681,173.04750154225786
2021-03-12,2021-Q1,5668.819784081764,174.8596545342381
2021-03-15,2021-Q1,5635.2205558745745,173.82325724861198
2021-03-16,2021-Q1,5599.871367864927,172.73288093769278
2021-03-17,2021-Q1,5603.121293212348,172.83312769895124
2021-03-18,2021-Q1,5607.021203629254,172.9534238124614
2021-03-19,2021-Q1,5462.424525094742,168.49321406539173
2021-03-22,2021-Q1,5471.174324107032,168.76310919185687
2021-03-23,2021-Q1,5527.873021706664,170.512029611351
2021-03-24,2021-Q1,5565.672153439752,171.67797655768044
2021-03-25,2021-Q1,5541.4727093143365,170.9315237507711
2021-03-26,2021-Q1,5638.270485816001,173.91733497840838
2021-03-29,2021-Q1,5638.270485816001,173.91733497840838
2021-03-30,2021-Q1,5835.5659538302425,180.00308451573102
2021-03-31,2021-Q1,5899.91447570919,181.987970388649
2021-04-01,2021-Q2,5689.619306305262,175.5012338062924
2021-04-02,2021-Q2,5689.619306305262,175.5012338062924
2021-04-05,2021-Q2,5598.97138853795,172.7051202961135
2021-04-06,2021-Q2,5637.720498449515,173.90037014188772
2021-04-07,2021-Q2,5609.0711565407055,173.01665638494754
2021-04-08,2021-Q2,5545.922607097728,171.06878470080198
2021-04-09,2021-Q2,5496.323746410924,169.53886489821096
2021-04-12,2021-Q2,5425.675369243128,167.35965453423813
2021-04-13,2021-Q2,5510.8234133455735,169.98611967921036
2021-04-14,2021-Q2,5510.8234133455735,169.98611967921036
2021-04-15,2021-Q2,5513.123360514519,170.05706354102406
2021-04-16,2021-Q2,5505.1735431262105,169.81184454040715
2021-04-19,2021-Q2,5463.374503273219,168.5225169648365
2021-04-20,2021-Q2,5455.074693924418,168.266502159161
2021-04-21,2021-Q2,5455.074693924418,168.266502159161
2021-04-22,2021-Q2,5462.524522797738,168.49629858112274
2021-04-23,2021-Q2,5418.875525439292,167.14990746452807
2021-04-26,2021-Q2,5410.67571379349,166.89697717458358
2021-04-27,2021-Q2,5420.675484093249,167.2054287476866
2021-04-28,2021-Q2,5495.123773974953,169.5018507094386
2021-04-29,2021-Q2,5492.273839439521,169.41394201110424
2021-04-30,2021-Q2,5492.673830251512,169.42628007402837
2021-05-03,2021-Q2,5451.674772022501,168.161628624306
2021-05-04,2021-Q2,5491.823849776032,169.4000616903146
2021-05-05,2021-Q2,5448.7748386355715,168.0721776681061
2021-05-06,2021-Q2,5568.4220902721845,171.76280074028378
2021-05-07,2021-Q2,5596.471445963009,172.62800740283777
2021-05-10,2021-Q2,5588.621626277699,172.38587291795187
2021-05-11,2021-Q2,5563.922193637295,171.62399753238742
2021-05-12,2021-Q2,5558.32232226943,171.45126465144972
2021-05-13,2021-Q2,5558.32232226943,171.45126465144972
2021-05-14,2021-Q2,5501.723622372795,169.70542874768665
2021-05-17,2021-Q2,5498.073706213382,169.592843923504
2021-05-18,2021-Q2,5496.52374181692,169.54503392967302
2021-05-19,2021-Q2,5536.172831055464,170.76804441702652
2021-05-20,2021-Q2,5523.223128517277,170.36859962985812
2021-05-21,2021-Q2,5479.97412197082,169.03454657618755
2021-05-24,2021-Q2,5491.773850924535,169.3985194324491
2021-05-25,2021-Q2,5508.623463879629,169.91826033312768
2021-05-26,2021-Q2,5574.471951303541,171.94941394201112
2021-05-27,2021-Q2,5624.120810841842,173.4808760024676
2021-05-28,2021-Q2,5607.621189847241,172.9719309068476
2021-05-31,2021-Q2,5592.071547031116,172.4922887106724
2021-06-01,2021-Q2,5576.071914551501,
2021-06-02,2021-Q2,5620.170901573438,
2021-06-03,2021-Q2,5623.82081773285,
2021-06-04,2021-Q2,5658.320025267018,
2021-06-07,2021-Q2,5807.516598139419,
2021-06-08,2021-Q2,5855.515495578262,
2021-06-09,2021-Q2,5781.667191914544,
2021-06-10,2021-Q2,5886.614781210513,
2021-06-11,2021-Q2,5846.865694268971,
2021-06-14,2021-Q2,5783.617147122996,
2021-06-15,2021-Q2,5805.266649821973,
2021-06-16,2021-Q2,5753.517838520721,
2021-06-17,2021-Q2,5656.070076949572,
2021-06-18,2021-Q2,5599.021387389447,
2021-06-21,2021-Q2,5623.42082692086,
2021-06-22,2021-Q2,5665.419862179848,
2021-06-23,2021-Q2,5641.770405420918,
2021-06-24,2021-Q2,5639.62045480647,
2021-06-25,2021-Q2,5709.418851498787,
2021-06-28,2021-Q2,5757.217753531634,
2021-06-29,2021-Q2,5703.468988170431,
2021-06-30,2021-Q2,5673.019687607664,
2021-07-01,2021-Q3,5698.51910187205,
2021-07-02,2021-Q3,5657.770037900533,
2021-07-05,2021-Q3,5663.719901228889,
2021-07-06,2021-Q3,5631.420643160668,
2021-07-07,2021-Q3,5653.770129780628,
2021-07-08,2021-Q3,5651.320186057188,
2021-07-09,2021-Q3,5617.520962444004,
2021-07-12,2021-Q3,5721.918564373486,
2021-07-13,2021-Q3,5882.764869645106,
2021-07-14,2021-Q3,5947.313386930049,
2021-07-15,2021-Q3,5877.264995980239,
2021-07-16,2021-Q3,6020.311710118289,
2021-07-19,2021-Q3,6083.360261858267,
2021-07-20,2021-Q3,6005.562048926143,
2021-07-21,2021-Q3,6005.562048926143,
2021-07-22,2021-Q3,6082.610279085784,
2021-07-23,2021-Q3,6080.9103181348255,
2021-07-26,2021-Q3,6087.910157344656,
2021-07-27,2021-Q3,5959.313111289757,
2021-07-28,2021-Q3,5952.16327552543,
2021-07-29,2021-Q3,5933.813697025373,
2021-07-30,2021-Q3,5994.162310784417,
2021-08-02,2021-Q3,5987.6124612380745,
2021-08-03,2021-Q3,5994.212309635916,
2021-08-04,2021-Q3,5933.863695876871,
2021-08-05,2021-Q3,5906.914314919021,
2021-08-06,2021-Q3,5883.264858160091,
2021-08-09,2021-Q3,5919.364028942221,
2021-08-10,2021-Q3,5903.21439990811,
2021-08-11,2021-Q3,5892.964635350858,
2021-08-12,2021-Q3,5892.064656023878,
2021-08-13,2021-Q3,5927.263847479029,
2021-08-16,2021-Q3,5921.513979556667,
2021-08-17,2021-Q3,5966.862937866074,
2021-08-18,2021-Q3,6003.96208567818,
2021-08-19,2021-Q3,6003.96208567818,
2021-08-20,2021-Q3,5992.9123394969465,
2021-08-23,2021-Q3,5964.063002182142,
2021-08-24,2021-Q3,5929.613793499472,
2021-08-25,2021-Q3,5846.515702308477,
2021-08-26,2021-Q3,5800.066769266096,
2021-08-27,2021-Q3,5825.116193866993,
2021-08-30,2021-Q3,5846.515702308477,
2021-08-31,2021-Q3,5819.616320202125,
2021-09-01,2021-Q3,5803.516690019513,
2021-09-02,2021-Q3,5797.41683013666,
2021-09-03,2021-Q3,5823.216237510038,
2021-09-06,2021-Q3,5855.315500172263,
2021-09-07,2021-Q3,5936.113644194314,
2021-09-08,2021-Q3,5981.4626025037205,
2021-09-09,2021-Q3,6098.709909268392,
2021-09-10,2021-Q3,6098.709909268392,
2021-09-13,2021-Q3,6145.358837716766,
2021-09-14,2021-Q3,6051.560992305029,
2021-09-15,2021-Q3,5999.66218444928,
2021-09-16,2021-Q3,6025.9615803376455,
2021-09-17,2021-Q3,5945.36343172159,
2021-09-20,2021-Q3,5931.71374526242,
2021-09-21,2021-Q3,5894.664596301814,
2021-09-22,2021-Q3,5927.2638474790265,
2021-09-23,2021-Q3,5973.812778224404,
2021-09-24,2021-Q3,5962.263043528182,
2021-09-27,2021-Q3,5973.51278511541,
2021-09-28,2021-Q3,5939.813559205224,
2021-09-29,2021-Q3,5940.1135523142175,
2021-09-30,2021-Q3,5898.814500976214,
2021-10-01,2021-Q4,5869.015185482932,
2021-10-04,2021-Q4,5853.965531181795,
