Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2012-03-12,19.95,19.95,19.95,19.95,-1.14,,,,,0
2012-03-13,20.0,20.0,20.0,20.0,-1.14,,,,,0
2012-03-14,19.7,19.7,19.7,19.7,-1.14,,,,,0
2012-03-15,19.55,19.55,19.55,19.55,-1.14,,,,,0
2012-03-16,18.5,18.5,18.5,18.5,-1.14,,,,,0
2012-03-19,18.7,18.7,18.7,18.7,-1.14,,,,,0
2012-03-20,18.35,18.35,18.35,18.35,-1.14,,,,,0
2012-03-21,18.9,18.9,18.9,18.9,-1.14,,,,,0
2012-03-22,18.15,18.15,18.15,18.15,-1.14,,,,,0
2012-03-23,18.05,18.05,18.05,18.05,-1.14,,,,,0
2012-03-26,17.05,17.05,17.05,17.05,-1.14,,,,,0
2012-03-27,17.15,17.15,17.15,17.15,-1.14,,,,,0
2012-03-28,16.3,16.3,16.3,16.3,-1.14,,,,,0
2012-03-29,16.9,16.9,16.9,16.9,-1.14,,,,,0
2012-03-30,17.65,17.65,17.65,17.65,-1.14,,,,,0
2012-04-02,17.85,17.85,17.85,17.85,-1.14,,,,,0
2012-04-03,19.0,19.0,19.0,19.0,-1.14,,,,,0
2012-04-04,18.75,18.75,18.75,18.75,-1.14,,,,,0
2012-04-05,18.75,18.75,18.75,18.75,-1.14,,,,,0
2012-04-06,18.75,18.75,18.75,18.75,-1.14,,,,,0
2012-04-09,19.4,19.4,19.4,19.4,-1.14,,,,,0
2012-04-10,19.35,19.35,19.35,19.35,-1.14,,,,,0
2012-04-11,19.5,19.5,19.5,19.5,-1.14,,,,,0
2012-04-12,19.9,19.9,19.9,19.9,-1.14,,,,,0
2012-04-13,19.2,19.2,19.2,19.2,-1.14,,,,,0
2012-04-16,19.65,19.65,19.65,19.65,-1.14,,,,,0
2012-04-17,19.6,19.6,19.6,19.6,-1.14,,,,,0
2012-04-18,19.05,19.05,19.05,19.05,-1.14,,,,,0
2012-04-19,19.3,19.3,19.3,19.3,-1.14,,,,,0
2012-04-20,18.95,18.95,18.95,18.95,-1.14,,,,,0
2012-04-23,18.6,18.6,18.6,18.6,-1.14,,,,,0
2012-04-24,18.8,18.8,18.8,18.8,-1.14,,,,,0
2012-04-25,18.75,18.75,18.75,18.75,-1.14,,,,,0
2012-04-26,18.7,18.7,18.7,18.7,-1.14,,,,,0
2012-04-27,18.35,18.35,18.35,18.35,-1.14,,,,,0
2012-04-28,18.9,18.9,18.9,18.9,-1.14,,,,,0
2012-04-30,18.7,18.7,18.7,18.7,-1.14,,,,,0
2012-05-01,18.7,18.7,18.7,18.7,-1.14,,,,,0
2012-05-02,18.45,18.45,18.45,18.45,-1.14,,,,,0
2012-05-03,18.05,18.05,18.05,18.05,-1.14,,,,,0
2012-05-04,17.9,17.9,17.9,17.9,-1.14,,,,,0
2012-05-07,17.85,17.85,17.85,17.85,-1.14,,,,,0
2012-05-08,18.2,18.2,18.2,18.2,-1.14,,,,,0
2012-05-09,17.8,17.8,17.8,17.8,-1.14,,,,,0
2012-05-10,17.15,17.15,17.15,17.15,-1.14,,,,,0
2012-05-11,17.3,17.3,17.3,17.3,-1.14,,,,,0
2012-05-14,17.15,17.15,17.15,17.15,-1.14,,,,,0
2012-05-15,17.2,17.2,17.2,17.2,-1.14,,,,,0
2012-05-16,16.8,16.8,16.8,16.8,-1.14,,,,,0
2012-05-17,16.7,16.7,16.7,16.7,-1.14,,,,,0
2012-05-18,16.15,16.15,16.15,16.15,-1.14,,,,,0
2012-05-21,16.5,16.5,16.5,16.5,-1.14,,,,,0
2012-05-22,16.0,16.0,16.0,16.0,-1.14,,,,,0
2012-05-23,16.2,16.2,16.2,16.2,-1.14,,,,,0
2012-05-24,16.65,16.65,16.65,16.65,-1.14,,,,,0
2012-05-25,16.5,16.5,16.5,16.5,-1.14,,,,,0
2012-05-28,16.5,16.5,16.5,16.5,-1.14,,,,,0
2012-05-29,16.7,16.7,16.7,16.7,-1.14,,,,,0
2012-05-30,16.3,16.3,16.3,16.3,-1.14,,,,,0
2012-05-31,16.1,16.1,16.1,16.1,-1.14,,,,,0
2012-06-01,16.0,16.0,16.0,16.0,-2.67,,,,,0
2012-06-04,15.9,15.9,15.9,15.9,-2.67,,,,,0
2012-06-05,16.0,16.0,16.0,16.0,-2.67,,,,,0
2012-06-06,16.05,16.05,16.05,16.05,-2.67,,,,,0
2012-06-07,16.2,16.2,16.2,16.2,-2.67,,,,,0
2012-06-08,16.35,16.35,16.35,16.35,-2.67,,,,,0
2012-06-11,16.15,16.15,16.15,16.15,-2.67,,,,,0
2012-06-12,16.2,16.2,16.2,16.2,-2.67,,,,,0
2012-06-13,15.95,15.95,15.95,15.95,-2.67,,,,,0
2012-06-14,15.6,15.6,15.6,15.6,-2.67,,,,,0
2012-06-15,15.9,15.9,15.9,15.9,-2.67,,,,,0
