Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2015-05-08,145.7,145.7,145.7,145.7,4.28,34.04205607476635,38.691588785046726,50.271028037383175,6.219993922819812,0
2015-05-11,149.1,149.1,149.1,149.1,4.28,34.83644859813084,38.6857476635514,49.903037383177576,6.307201458523246,0
2015-05-12,142.75,142.75,142.75,142.75,4.28,33.35280373831775,38.65654205607477,49.39836448598131,33.35280373831775,0
2015-05-13,144.85,144.85,144.85,144.85,4.28,33.84345794392523,38.52219626168224,48.98364485981308,33.73831775700935,0
2015-05-14,150.6,150.6,150.6,150.6,4.28,35.18691588785046,38.32943925233644,48.85514018691588,33.84345794392523,0
2015-05-15,147.4,147.4,147.4,147.4,4.28,34.4392523364486,38.23598130841121,48.69158878504672,34.04205607476635,0
2015-05-18,148.5,148.5,148.5,148.5,4.28,34.69626168224299,38.20093457943925,48.55140186915887,34.28738317757009,0
2015-05-19,149.5,149.5,149.5,149.5,4.28,34.929906542056074,38.16588785046729,48.4929906542056,34.4392523364486,0
2015-05-20,150.45,150.45,150.45,150.45,4.28,35.1518691588785,38.15420560747664,48.42289719626167,34.61448598130841,0
2015-05-21,149.05,149.05,149.05,149.05,4.28,34.824766355140184,38.14836448598131,48.399532710280376,34.69626168224299,0
2015-05-22,149.9,149.9,149.9,149.9,4.28,35.02336448598131,38.13084112149532,48.34696261682242,34.70794392523364,0
2015-05-25,151.1,151.1,151.1,151.1,4.28,35.30373831775701,38.11331775700934,48.28271028037383,34.731308411214954,0
2015-05-26,150.25,150.25,150.25,150.25,4.28,35.10514018691588,38.07827102803738,48.26518691588785,34.824766355140184,0
2015-05-27,153.25,153.25,153.25,153.25,4.28,35.80607476635514,37.94392523364485,48.08411214953272,34.83644859813084,0
2015-05-28,156.25,156.25,156.25,156.25,4.28,36.50700934579439,37.838785046728965,47.86214953271028,34.929906542056074,0
2015-05-29,153.65,153.65,153.65,153.65,4.28,35.899532710280376,37.838785046728965,47.72196261682242,35.02336448598131,0
2015-06-01,153.85,153.85,153.85,153.85,3.89,39.55012853470437,37.838785046728965,47.53504672897196,35.10514018691588,0
2015-06-02,151.75,151.75,151.75,151.75,3.89,39.01028277634961,37.838785046728965,46.98014018691589,35.1518691588785,0
2015-06-03,149.85,149.85,149.85,149.85,3.89,38.52185089974293,37.838785046728965,45.665887850467286,35.18691588785046,0
2015-06-04,144.85,144.85,144.85,144.85,3.89,37.236503856041125,37.80957943925233,44.56191588785047,35.18691588785046,0
2015-06-05,143.7,143.7,143.7,143.7,3.89,36.94087403598972,37.75116822429906,42.844626168224295,35.30373831775701,0
2015-06-08,138.3,138.3,138.3,138.3,3.89,35.552699228791774,37.710280373831765,41.34929906542055,35.50233644859813,0
